"","ownership_category","ownershipType","locationid","locationodscode","registrationdate","providerid","locationname","providername","providercompanieshousenumber","providercharitynumber"
"1","Independent","Partnership","1-10006311414","P91604","2020-12-11","1-199787633","St Johns Medical Centre","St Johns Medical Centre","",""
"2","Corporation","Organisation","1-10011093419","B85042","2021-02-01","1-9622150528","Paddock and Longwood Family Practice","Paddock and Longwood Family Practice Limited","12850579",""
"3","Corporation","Organisation","1-10012064243","P82613","2020-12-10","1-2243873064","Springview Medical Centre","SSP Health GPMS Ltd","09644619",""
"4","Independent","Partnership","1-10012177836","F81729","2020-12-18","1-9214853678","Matching Green Surgery","Matching Green Surgery","",""
"5","Independent","Partnership","1-10015733020","E87066","2021-01-20","1-9508990906","Fitzrovia Medical Centre","Fitzrovia Medical Centre","",""
"6","Independent","Partnership","1-10017209067","M83134","2020-12-10","1-199769126","Prima Care Surgeries Foden Street Branch Site","Prima Care Surgeries","",""
"7","Independent","Partnership","1-1004459443","B81066","2013-10-14","1-911829217","Park Health Care Centre","Drs GM Chowdhury & Dr NF Rangoonwala","",""
"8","Independent","Individual","1-10048396988","G82217","2021-03-24","1-9931659218","Harbour Medical Practice","Dr Qasim Mahmood","",""
"9","Independent","Partnership","1-1004909835","C81057","2013-11-01","1-199705357","Willington Surgery","Willington Surgery","",""
"10","Independent","Partnership","1-10054264423","P81127","2021-02-01","1-656453529","The Surgery Chorley","Leyland Surgery","",""
"11","Independent","Partnership","1-10059619440","F82053","2020-12-17","1-199742634","Upminster Medical Centre","Hurley Clinic Partnership","",""
"12","Independent","Partnership","1-10064397392","G83033","2020-12-18","1-9517976556","Dr Thavapalan & Partners","Dr Thavapalan & Partners","",""
"13","Independent","Partnership","1-10085774795","C83083","2020-12-23","1-2707733877","The New Coningsby Surgery","The Welby Practice","",""
"14","Corporation","Organisation","1-10097436842","G81667","2020-12-30","1-6475914402","St Luke's Surgery","Sussex Primary Care Ltd","11695322",""
"15","Corporation","Organisation","1-10127416740","E85041","2021-01-01","1-9716000802","Hanwell Health Centre","Drs S Bassi and H Kamboj Ltd","12142019",""
"16","Independent","Partnership","1-10128354854","C84710","2020-12-31","1-199710790","Bull Farm Branch of Oakwood Surgery","Oakwood Surgery","",""
"17","Corporation","Organisation","1-10132218916","L82025","2021-01-08","1-9679223857","Mevagissey Surgery","St Austell Healthcare Group (Mevagissey) Limited","12843905",""
"18","Independent","Individual","1-1013473262","H82641","2013-10-15","1-973426489","The Lawns Surgery","Dr Charles Benjamin Shlosberg","",""
"19","Independent","Partnership","1-10171769695","G81048","2021-02-10","1-199736414","Carisbrooke Surgery","Carisbrooke Surgery","",""
"20","Independent","Individual","1-10178239555","C86626","2021-05-13","1-10819234185","Park View Surgery","Dr Sukhbinder Singh Deepak","",""
"21","Corporation","Organisation","1-10193783923","Y00445","2021-03-03","1-2103767480","SPCT Practices","Salford Primary Care Together CIC","07227455",""
"22","Corporation","Organisation","1-1020208748","Y02572","2013-11-12","1-256729774","Park Walk in Centre","Locala Community Partnerships C.I.C.","07584906",""
"23","Corporation","Organisation","1-10210803891","B85020","2021-02-01","1-9718215933","Eightlands Surgery","Eightlands Surgery Ltd","12902524",""
"24","Independent","Partnership","1-10211192128","M82006","2021-03-30","1-199767308","Riverside Medical Practice","Riverside Medical Practice","",""
"25","Independent","Individual","1-10240491798","M85145","2021-03-10","1-10004635085","The Slieve Surgery","Dr Imran Zaman","",""
"26","Independent","Partnership","1-10242251005","D83030","2021-01-27","1-199717024","Kirkley Mill Surgery","Rosedale Surgery","",""
"27","Independent","Individual","1-10245524050","Y00561","2021-03-10","1-199792826","Shortstown Surgery","Dr Lindsay Mackenzie","",""
"28","Independent","Individual","1-1025130100","B87044","2013-10-28","1-966879350","Alverthorpe Surgery","Dr Selwyn Layton Durrell Barnsley","",""
"29","Independent","Partnership","1-10278815152","H82011","2021-01-29","1-199745048","Strand Medical","Strand Medical","",""
"30","Independent","Partnership","1-10319655333","E85099","2021-02-17","1-9665479255","The Avenue Surgery","The Avenue Surgery","",""
"31","Independent","Partnership","1-10320435592","F86701","2021-02-03","1-9877318375","Dr Tahir Kiyani","Dr Tahir Maqsood Kiyani and Dr Maria Concetta Colloridi","",""
"32","Independent","Individual","1-10324365409","F82675","2021-02-12","1-10173186505","Billet Lane Medical Practice","Dr Olumuyiwa Adebambo Jegede","",""
"33","Corporation","Organisation","1-10337307194","P81160","2021-03-26","1-8939302293","Oswald Medical Centre, Accrington","Oswald Medical Centre Limited","12412597",""
"34","Independent","Individual","1-10337420358","B81090","2021-02-09","1-9738394066","The Oswald Road Medical Centre","Dr Sheena Kurien-George","",""
"35","Independent","Partnership","1-10363751508","F83057","2021-03-08","1-10279001250","Parliament Hill Medical Centre","Parliament Hill Medical Centre","",""
"36","Independent","Individual","1-10370235190","E85013","2021-02-11","1-9977866498","Westseven GP","Dr Mikael Prevost","",""
"37","Independent","Partnership","1-10370494664","K83049","2020-11-16","1-199757882","Brackley Medical Centre","Brackley Medical Centre","",""
"38","Independent","Partnership","1-1039033306","C84619","2013-11-28","1-979119571","Tudor House Medical Practice","Dr JK Henry and Dr JA Lloyd","",""
"39","Independent","Partnership","1-1042925530","L81051","2013-11-14","1-199759489","168 Medical Group","168 Medical Group","",""
"40","Independent","Individual","1-10433383434","J82198","2021-02-24","1-2634469360","Wellington Practice","Dr Mohammed Shafiq Rahman","",""
"41","Corporation","Organisation","1-10438797030","D81042","2021-03-12","1-6092785461","Waterbeach Surgery","MKGP Plus Limited","10747880",""
"42","Independent","Partnership","1-10450251899","E81060","2021-03-02","1-199717689","Linden Road Surgery","Putnoe Medical Centre Partnership","",""
"43","Independent","Partnership","1-10461345275","C87030","2021-03-12","1-9982087119","Crown Street Surgery","Crown Street Surgery","",""
"44","Corporation","Organisation","1-10472984618","J82069","2021-03-09","1-129963048","Camrose, Gillies and Hackwood Partnership","The Practice Surgeries Limited","06545745",""
"45","Independent","Partnership","1-10473069856","E84713","2021-04-08","1-9845200619","The Enterprise Practice","The Enterprise Practice","",""
