company_number,company_name,company_type,company_subtype,company_status,date_of_creation,date_of_cessation,sic_codes,is_community_interest_company,has_insolvency_history,governed_by,business_activity,branch_parent_company_name,branch_parent_company_number,registered_office_address,address_premises,address_line_1,address_line_2,address_locality,address_region,address_postal_code,address_country,insolvency_case_count,most_recent_case_type,most_recent_case_number,case_date_1_type,case_date_1_value,case_date_2_type,case_date_2_value,case_date_3_type,case_date_3_value,case_date_4_type,case_date_4_value,case_date_5_type,case_date_5_value,practitioners_count,practitioner_1_name,practitioner_1_role,practitioner_1_appointed_on,practitioner_1_ceased_to_act_on,practitioner_1_address,practitioner_2_name,practitioner_2_role,practitioner_2_appointed_on,practitioner_2_ceased_to_act_on,practitioner_2_address,practitioner_3_name,practitioner_3_role,practitioner_3_appointed_on,practitioner_3_ceased_to_act_on,practitioner_3_address,case_notes,all_case_types,earliest_insolvency_date,latest_insolvency_date
12850579,PADDOCK AND LONGWOOD FAMILY PRACTICE LIMITED,ltd,,active,2020-09-01,,86210,False,False,,,,,"Speedwell Surgery 1 Speedwell Street, Paddock, Huddersfield, HD1 4TS, England",,Speedwell Surgery 1 Speedwell Street,Paddock,Huddersfield,,HD1 4TS,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09644619,SSP HEALTH GPMS LTD,ltd,,active,2015-06-17,,86210,False,False,,,,,"3rd Floor Waterside House, Waterside Drive, Wigan, WN3 5AZ, England",,3rd Floor Waterside House,Waterside Drive,Wigan,,WN3 5AZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11695322,SUSSEX PRIMARY CARE LTD,ltd,,active,2018-11-26,,86210; 86220; 86900,False,False,,,,,"Sussex Community Nhs Foundation Trust Sussex Primary Care, Arundel Building, 1st Floor, Elm Grove, Brighton, BN2 3EW, England",,"Sussex Community Nhs Foundation Trust Sussex Primary Care, Arundel Building, 1st Floor",Elm Grove,Brighton,,BN2 3EW,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12142019,DRS S BASSI & H KAMBOJ LTD,ltd,,active,2019-08-06,,86210,False,False,,,,,"Hanwell Health Centre 20, Church Road, Hanwell, London, W7 1DR",,Hanwell Health Centre 20,Church Road,Hanwell,London,W7 1DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12843905,ST AUSTELL HEALTHCARE GROUP (MEVAGISSEY) LIMITED,ltd,,active,2020-08-28,,86220,False,False,,,,,"1 Wheal Northey 1 Wheal Northey, Wheal Northey Surgery, St. Austell, Cornwall, PL25 3EF, England",,1 Wheal Northey 1 Wheal Northey,Wheal Northey Surgery,St. Austell,Cornwall,PL25 3EF,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07227455,SALFORD PRIMARY CARE TOGETHER CIC,ltd,community-interest-company,active,2010-04-19,,86210; 86220,True,False,,,,,"3rd Floor 2 City Approach Albert Street, Eccles, Manchester, M30 0BL, England",,3rd Floor 2 City Approach Albert Street,Eccles,Manchester,,M30 0BL,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07584906,LOCALA COMMUNITY PARTNERSHIPS C.I.C.,ltd,community-interest-company,active,2011-03-30,,86101; 86210; 86230; 86900,True,False,,,,,"Eddercliffe Health Centre, Bradford Road, Liversedge, WF15 6LP, England",,Eddercliffe Health Centre,Bradford Road,Liversedge,,WF15 6LP,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12902524,EIGHTLANDS SURGERY LTD,ltd,,active,2020-09-24,,86900,False,False,,,,,"Eightlands Surgery Dewsbury Health Centre, Wellington Road, Dewsbury, WF13 1HN, England",,Eightlands Surgery Dewsbury Health Centre,Wellington Road,Dewsbury,,WF13 1HN,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12412597,OSWALD MEDICAL CENTRE LIMITED,ltd,,active,2020-01-20,,86210,False,False,,,,,"1 Hardman Street, Spinningfields, Manchester, Greater Manchester, M3 3HF, United Kingdom",,1 Hardman Street,Spinningfields,Manchester,Greater Manchester,M3 3HF,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747880,MKGP PLUS LIMITED,ltd,,dissolved,2017-05-02,2026-01-30,86210; 86220; 86900,False,True,,,,,"Cmb Partners Uk Ltd, 49 Tabernacle Street, London, EC2A 4AA",,Cmb Partners Uk Ltd,49 Tabernacle Street,London,,EC2A 4AA,,1,creditors-voluntary-liquidation,1,due-to-be-dissolved-on,2026-01-30,wound-up-on,2023-02-27,,,,,,,2,Lane Gary Bednash,practitioner,2023-02-27,,"Craftwork Studios  1-3 Dufferin Street, London, EC1Y 8NA",Adam Price,practitioner,2023-02-27,,"Craftwork Studios 1-3 Dufferin Street, London, EC1Y 8NA",,,,,,,creditors-voluntary-liquidation,2023-02-27,2026-01-30
06545745,THE PRACTICE SURGERIES LIMITED,ltd,,active,2008-03-27,,86210,False,False,,,,,"Prospect House, 108 High Street, Great Missenden, HP16 0BG, England",,Prospect House,108 High Street,Great Missenden,,HP16 0BG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07087850,VH DOCTORS LIMITED,ltd,,dissolved,2009-11-26,2020-12-15,86210,False,False,,,,,"The Heath Business And Technical Park, Runcorn, Cheshire, WA7 4QX, United Kingdom",,The Heath Business And Technical Park,,Runcorn,Cheshire,WA7 4QX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06633460,SYMPHONY HEALTHCARE SERVICES LIMITED,ltd,,active,2008-06-30,,86210,False,False,,,,,"Wincanton Health Centre, Dyke's Way, Wincanton, Somerset, BA9 9FQ, England",,Wincanton Health Centre,Dyke's Way,Wincanton,Somerset,BA9 9FQ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05057581,AT MEDICS LIMITED,ltd,,active,2004-02-27,,86210,False,False,,,,,"108 High Street, Great Missenden, HP16 0BG, England",,108 High Street,,Great Missenden,,HP16 0BG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03156031,SOUTH EAST LONDON DOCTORS CO OPERATIVE LIMITED,private-limited-guarant-nsc,,active,1996-02-01,,86210,False,False,,,,,"Hanover House, 76 Coombe Road, Kingston Upon Thames, KT2 7AZ, England",,"Hanover House, 76 Coombe Road",,Kingston Upon Thames,,KT2 7AZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06510296,DURHAM DALES HEALTH,private-limited-guarant-nsc-limited-exemption,,active,2008-02-20,,70221; 70229; 86210; 86900,False,False,,,,,"51-55 Innovation House 26 Longfield Road, South Church Enterprise Park, Bishop Auckland, County Durham, DL14 6XB, England",,51-55 Innovation House 26 Longfield Road,South Church Enterprise Park,Bishop Auckland,County Durham,DL14 6XB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06259954,SPIRIT HEALTHCARE LTD,ltd,,active,2007-05-25,,46460; 86900,False,False,,,,,"Spirit House, Saffron Way, Leicester, LE2 6UP, United Kingdom",,Spirit House,Saffron Way,Leicester,,LE2 6UP,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13074092,LINDLEY VILLAGE SURGERY LTD,ltd,,active,2020-12-09,,86210,False,False,,,,,"The Lindley Village Surgery Thomas Street, Lindley, Huddersfield, West Yorkshire, HD3 3JD, United Kingdom",,The Lindley Village Surgery Thomas Street,Lindley,Huddersfield,West Yorkshire,HD3 3JD,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07384595,THE ISLINGTON GP GROUP LIMITED,ltd,,active,2010-09-22,,86210,False,False,,,,,"Unit 16- 18 The Studios 8 Hornsey Street, London, N7 8EG, England",,Unit 16- 18 The Studios 8 Hornsey Street,,London,,N7 8EG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12958615,WEST POTTERGATE MEDICAL PRACTICE LIMITED,ltd,,active,2020-10-19,,86210,False,False,,,,,"West Pottergate Medical Practice 137 West Pottergate, Earlham Road, Norwich, Norfolk, NR2 4BX, United Kingdom",,West Pottergate Medical Practice 137 West Pottergate,Earlham Road,Norwich,Norfolk,NR2 4BX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13139376,SLAG LANE MEDICAL LTD,ltd,,active,2021-01-18,,86900,False,False,,,,,"216 Slag Lane, Lowton, Warrington, WA3 2EZ, England",,216 Slag Lane,Lowton,Warrington,,WA3 2EZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08244108,HMC (KIMBERLEY) LIMITED,ltd,,dissolved,2012-10-08,2024-02-06,86210,False,False,,,,,"11a Nottingham Road Kimberley, Nottingham, NG16 2NB, England",,11a Nottingham Road Kimberley,,Nottingham,,NG16 2NB,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06080313,SALFORD HEALTH MATTERS COMMUNITY INTEREST COMPANY,ltd,community-interest-company,dissolved,2007-02-02,2020-10-13,86210,True,False,,,,,"1st Floor Eccles Gateway 28 Barton Lane, Eccles, Manchester, M30 0TU",,1st Floor Eccles Gateway 28 Barton Lane,Eccles,Manchester,,M30 0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13195517,CMP MEDICAL LIMITED,ltd,,active,2021-02-11,,86900,False,False,,,,,"1 Hardman Street, Spinningfields, Manchester, Greater Manchester, M3 3HF, United Kingdom",,1 Hardman Street,Spinningfields,Manchester,Greater Manchester,M3 3HF,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03121117,CUMBRIA HEALTH LIMITED,private-limited-guarant-nsc,,active,1995-11-02,,86210,False,False,,,,,"4 Wavell Drive, Rosehill Industrial Estate, Carlisle, CA1 2SE, England",,4 Wavell Drive,Rosehill Industrial Estate,Carlisle,,CA1 2SE,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09490093,PRIMARY CARE SHEFFIELD LIMITED,ltd,,active,2015-03-14,,86900,False,False,,,,,"28 Kenwood Park Road, Sheffield, S7 1NF, England",,28 Kenwood Park Road,,Sheffield,,S7 1NF,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11357557,FIELDHEAD MEDICAL SERVICES LTD,ltd,,active,2018-05-11,,86210,False,False,,,,,"255 The Longshoot, Nuneaton, CV11 6JH, United Kingdom",,255 The Longshoot,,Nuneaton,,CV11 6JH,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP29888R,WALDOC LIMITED,registered-society-non-jurisdictional,,converted-closed,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
