"","gp_code","imd25"
"1","A81001",33.519
"2","A81002",31.289
"3","A81004",24.556
"4","A81005",16.448
"5","A81006",34.168
"6","A81007",39.266
"7","A81009",37.658
"8","A81011",39.264
"9","A81012",52.819
"10","A81013",33.112
"11","A81014",24.605
"12","A81016",48.445
"13","A81017",18.095
"14","A81018",30.83
"15","A81019",52.403
"16","A81020",34.039
"17","A81021",37.744
"18","A81022",30.908
"19","A81023",49.491
"20","A81025",35.479
"21","A81026",45.894
"22","A81027",9.338
"23","A81029",51.902
"24","A81030",27.62
"25","A81031",41.823
"26","A81032",19.97
"27","A81034",19.839
"28","A81035",45.836
"29","A81036",28.162
"30","A81037",48.365
"31","A81038",48.015
"32","A81039",9.704
"33","A81040",24.82
"34","A81041",36.937
"35","A81042",45.96
"36","A81044",38.436
"37","A81045",32.092
"38","A81046",31.481
"39","A81048",16.789
"40","A81049",49.632
"41","A81051",30.957
"42","A81052",27.355
"43","A81053",38.762
"44","A81054",29.987
"45","A81056",25.007
"46","A81057",27.31
"47","A81058",28.117
"48","A81060",36.759
"49","A81063",40.061
"50","A81064",50.017
"51","A81065",49.487
"52","A81066",17.563
"53","A81067",39.069
"54","A81070",33.149
"55","A81602",22.051
"56","A81608",44.955
"57","A81610",24.232
"58","A81611",26.45
"59","A81612",24.26
"60","A81618",20.66
"61","A81621",65.449
"62","A81622",45.484
"63","A81629",41.238
"64","A81631",37.629
"65","A82003",13.747
"66","A82004",23.341
"67","A82005",15.256
"68","A82006",18.93
"69","A82007",31.035
"70","A82008",28.468
"71","A82009",28.118
"72","A82010",22.003
"73","A82012",16.183
"74","A82013",20.792
"75","A82014",18.072
"76","A82015",28.022
"77","A82016",22.718
"78","A82018",23.763
"79","A82020",24.47
"80","A82021",13.264
"81","A82022",13.593
"82","A82023",22.054
"83","A82024",17.53
"84","A82025",13.28
"85","A82026",11.243
"86","A82027",12.206
"87","A82028",13.52
"88","A82029",17.633
"89","A82030",11.228
"90","A82031",19.593
"91","A82032",33.413
"92","A82033",26.009
"93","A82035",14.643
"94","A82036",14.519
"95","A82037",25.096
"96","A82038",16.77
"97","A82039",17.857
"98","A82041",26.695
"99","A82044",27.119
"100","A82045",22.173
"101","A82046",12.641
"102","A82047",31.602
"103","A82053",11.687
"104","A82055",25.197
"105","A82062",33.236
"106","A82064",24.227
"107","A82068",14.6
"108","A82070",12.285
"109","A82071",23.754
"110","A82072",31.266
"111","A82075",27.926
"112","A82608",13.526
"113","A82613",16.769
"114","A82617",15.277
"115","A82620",16.431
"116","A82629",33.069
"117","A82631",14.703
"118","A82646",31.196
"119","A82647",12.787
"120","A82650",15.992
"121","A82651",16.85
"122","A82654",24.934
"123","A83001",25.341
"124","A83003",36.135
"125","A83005",24.971
"126","A83006",26.155
"127","A83007",40.828
"128","A83008",45.455
"129","A83009",21.995
"130","A83010",22.253
"131","A83011",10.293
"132","A83012",40.149
"133","A83013",34.623
"134","A83014",21.479
"135","A83015",34.998
"136","A83016",36.52
"137","A83018",25.15
"138","A83020",31.292
"139","A83021",35.641
"140","A83022",27.994
"141","A83023",37.669
"142","A83024",27.071
"143","A83025",38.81
"144","A83026",26.01
"145","A83027",20.97
"146","A83028",21.642
"147","A83029",18.858
"148","A83030",21.477
"149","A83031",15.315
"150","A83032",29.943
"151","A83033",25.952
"152","A83034",28.261
"153","A83035",23.026
"154","A83036",8.812
"155","A83037",28.189
"156","A83038",19.23
"157","A83040",33.663
"158","A83041",35.619
"159","A83043",23.236
"160","A83044",43.883
"161","A83045",42.69
"162","A83046",17.14
"163","A83047",31.337
"164","A83048",13.443
"165","A83049",22.522
"166","A83050",20.759
"167","A83051",31.725
"168","A83052",26.661
"169","A83054",21.247
"170","A83055",13.84
"171","A83057",39.84
"172","A83060",28.117
"173","A83061",16.904
"174","A83066",34.694
"175","A83070",15.726
"176","A83071",30.81
"177","A83072",17.451
"178","A83073",38.262
"179","A83074",33.51
"180","A83075",33.088
"181","A83610",34.943
"182","A83616",39.983
"183","A83617",24.982
"184","A83618",27.268
"185","A83619",40.04
"186","A83622",32.45
"187","A83626",39.182
"188","A83627",34.937
"189","A83634",43.247
"190","A83635",22.583
"191","A83636",29.307
"192","A83637",33.976
"193","A83641",38.172
"194","A83644",38.691
"195","A84002",16.059
"196","A84005",23.014
"197","A84006",16.23
"198","A84007",8.105
"199","A84008",20.812
"200","A84009",34.281
"201","A84011",8.228
"202","A84013",31.499
"203","A84014",32.244
"204","A84016",14.933
"205","A84018",11.875
"206","A84020",26.789
"207","A84022",23.979
"208","A84024",13.966
"209","A84025",22.054
"210","A84026",23.028
"211","A84027",23.585
"212","A84028",33.74
"213","A84029",18.958
"214","A84030",19.579
"215","A84031",13.704
"216","A84033",14.199
"217","A84034",23.021
"218","A84035",14.308
"219","A84036",26.775
"220","A84037",23.433
"221","A84038",18.487
"222","A84039",13.616
"223","A84040",19.624
"224","A84042",17.909
"225","A84044",23.129
"226","A84045",20.376
"227","A84047",11.374
"228","A84604",21.775
"229","A84614",18.581
"230","A84619",19.759
"231","A85001",20.142
"232","A85002",32.773
"233","A85004",31.307
"234","A85005",36.617
"235","A85006",27.646
"236","A85007",20.021
"237","A85008",24.584
"238","A85009",37.883
"239","A85010",21.21
"240","A85011",37.946
"241","A85013",35.309
"242","A85014",19.621
"243","A85016",36.366
"244","A85017",42.839
"245","A85018",26.136
"246","A85019",38.053
"247","A85020",14.047
"248","A85021",40.221
"249","A85024",39.814
"250","A85026",32.924
"251","A85611",22.898
"252","A85614",34.007
"253","A85616",20.696
"254","A85617",16.097
"255","A86003",27.154
"256","A86004",44.244
"257","A86005",22.337
"258","A86006",11.264
"259","A86008",19.645
"260","A86010",18.101
"261","A86011",50.041
"262","A86012",42.963
"263","A86013",33.64
"264","A86016",13.456
"265","A86017",45.731
"266","A86018",10.175
"267","A86020",10.628
"268","A86021",37.027
"269","A86022",18.375
"270","A86023",32.213
"271","A86024",39.53
"272","A86025",36.596
"273","A86026",26.377
"274","A86027",23.637
"275","A86028",14.942
"276","A86029",34.65
"277","A86030",38.406
"278","A86031",34.52
"279","A86033",5.226
"280","A86037",51.557
"281","A86038",30.422
"282","A86040",57.12
"283","A86041",13.442
"284","A86601",29.97
"285","A87002",20.848
"286","A87004",26.227
"287","A87005",12.36
"288","A87007",21.363
"289","A87008",9.376
"290","A87009",20.898
"291","A87011",7.618
"292","A87012",21.796
"293","A87013",32.764
"294","A87016",27.432
"295","A87017",14.147
"296","A87020",11.463
"297","A87022",16.941
"298","A87029",29.349
"299","A87030",43.528
"300","A87612",16.494
"301","A87615",17.259
"302","A88001",26.275
"303","A88002",36.628
"304","A88003",31.674
"305","A88004",31.634
"306","A88005",39.937
"307","A88006",38.931
"308","A88008",39.786
"309","A88009",20.306
"310","A88010",32.039
"311","A88012",26.471
"312","A88013",31.965
"313","A88014",40.626
"314","A88015",39.727
"315","A88016",19.656
"316","A88022",25.658
"317","A88023",17.796
"318","A88025",34.055
"319","A88601",32.673
"320","A88608",33.83
"321","A88613",34.652
"322","A89001",42.836
"323","A89002",47.743
"324","A89004",36.617
"325","A89005",37.33
"326","A89006",38.687
"327","A89007",35.083
"328","A89008",45.193
"329","A89009",24.471
"330","A89010",29.457
"331","A89011",26.884
"332","A89012",29.278
"333","A89013",44.165
"334","A89015",13.825
"335","A89016",29.422
"336","A89017",38.123
"337","A89018",41.366
"338","A89019",48.092
"339","A89020",37.2
"340","A89021",27.979
"341","A89022",29.255
"342","A89023",28.846
"343","A89024",35.315
"344","A89025",30.92
"345","A89026",31.19
"346","A89027",38.013
"347","A89028",23.073
"348","A89030",28.19
"349","A89031",37.433
"350","A89032",26.08
"351","A89034",33.966
"352","A89035",26.402
"353","A89036",38.756
"354","A89040",32.931
"355","A89041",38.231
"356","A89614",35.989
"357","A89616",20.667
"358","A89617",28.311
"359","A89623",33.724
"360","B81003",24.69
"361","B81004",21.081
"362","B81005",17.206
"363","B81006",33.346
"364","B81007",18.594
"365","B81008",37.657
"366","B81009",11.117
"367","B81011",33.678
"368","B81012",43.217
"369","B81013",25.829
"370","B81015",33.467
"371","B81016",37.759
"372","B81017",47.735
"373","B81018",47.461
"374","B81020",28.776
"375","B81022",18.999
"376","B81024",5.671
"377","B81025",21.606
"378","B81026",30.824
"379","B81027",43.564
"380","B81029",12.835
"381","B81030",19.671
"382","B81031",26.826
"383","B81032",44.877
"384","B81034",14.832
"385","B81035",22.568
"386","B81036",10.285
"387","B81037",14.45
"388","B81038",31.665
"389","B81039",31.195
"390","B81040",49.304
"391","B81041",12.585
"392","B81042",11.118
"393","B81043",14.483
"394","B81045",27.189
"395","B81046",47.528
"396","B81047",42.291
"397","B81048",30.454
"398","B81051",10.589
"399","B81052",37.567
"400","B81054",39.988
"401","B81061",9.276
"402","B81063",18.048
"403","B81064",26.871
"404","B81068",24.008
"405","B81069",33.861
"406","B81074",36.257
"407","B81075",24.768
"408","B81082",8.23
"409","B81085",30.198
"410","B81087",31.385
"411","B81088",11.818
"412","B81090",31.531
"413","B81091",25.978
"414","B81092",15.177
"415","B81097",35.154
"416","B81099",17.209
"417","B81100",9.942
"418","B81101",12.243
"419","B81104",24.178
"420","B81108",26.316
"421","B81109",20.49
"422","B81112",39.361
"423","B81113",28.347
"424","B81118",33.735
"425","B81119",43.351
"426","B81606",44.914
"427","B81616",34.959
"428","B81617",35.847
"429","B81619",13.6
"430","B81628",18.705
"431","B81631",38.953
"432","B81635",17.055
"433","B81642",19.279
"434","B81645",35.183
"435","B81647",17.161
"436","B81648",25.601
"437","B81653",12.103
"438","B81655",29.085
"439","B81656",45.205
"440","B81663",30.202
"441","B81665",13.012
"442","B81666",4.742
"443","B81697",34.434
"444","B82002",11.006
"445","B82004",13.99
"446","B82005",14.135
"447","B82007",12.819
"448","B82008",12.803
"449","B82010",12.788
"450","B82011",21.718
"451","B82012",6.322
"452","B82013",11.589
"453","B82014",10.471
"454","B82016",11.232
"455","B82017",24.723
"456","B82018",10.14
"457","B82019",13.615
"458","B82021",11.16
"459","B82022",12.941
"460","B82023",18.082
"461","B82024",34.503
"462","B82025",16.867
"463","B82026",10.286
"464","B82027",10.857
"465","B82029",16.666
"466","B82030",15.95
"467","B82031",9.702
"468","B82032",12.687
"469","B82033",14.412
"470","B82034",13.505
"471","B82035",13.927
"472","B82036",12.857
"473","B82037",23.32
"474","B82038",32.549
"475","B82041",12.92
"476","B82042",14.516
"477","B82044",14.593
"478","B82045",18.291
"479","B82046",32.174
"480","B82047",8.575
"481","B82049",14.226
"482","B82050",15.376
"483","B82053",13.668
"484","B82054",22.825
"485","B82057",11.023
"486","B82059",12.165
"487","B82060",11.686
"488","B82061",13.928
"489","B82063",14.962
"490","B82064",9.059
"491","B82066",12.816
"492","B82067",10.145
"493","B82068",15.655
"494","B82069",10.022
"495","B82071",6.544
"496","B82072",13.916
"497","B82073",13.934
"498","B82074",16.829
"499","B82075",14.968
"500","B82077",17.027
"501","B82078",14.244
"502","B82079",12.185
"503","B82080",8.052
"504","B82081",7.513
"505","B82083",13.646
"506","B82086",24.695
"507","B82088",33.726
"508","B82097",19.409
"509","B82098",12.735
"510","B82100",15.047
"511","B82101",21.649
"512","B82104",15.691
"513","B82105",11.346
"514","B82106",19.328
"515","B82609",16.134
"516","B82619",16.337
"517","B82622",19.565
"518","B82628",21.736
"519","B83002",6.717
"520","B83005",51.3
"521","B83008",45.58
"522","B83009",31.059
"523","B83010",45.394
"524","B83012",44.13
"525","B83014",13.755
"526","B83015",52.159
"527","B83016",53.234
"528","B83018",23.483
"529","B83019",6.39
"530","B83020",24.699
"531","B83022",10.751
"532","B83025",53.129
"533","B83026",58.446
"534","B83028",30.249
"535","B83029",28.568
"536","B83031",10.701
"537","B83032",55.763
"538","B83033",24.644
"539","B83034",50.062
"540","B83035",55.655
"541","B83037",14.443
"542","B83038",37.976
"543","B83039",22.276
"544","B83041",50.106
"545","B83042",46.813
"546","B83045",37.144
"547","B83051",53.712
"548","B83052",53.793
"549","B83054",31.194
"550","B83055",45.143
"551","B83056",35.367
"552","B83058",56.251
"553","B83062",42.694
"554","B83063",31.547
"555","B83064",32.407
"556","B83067",14.115
"557","B83604",51.113
"558","B83611",55.696
"559","B83614",51.853
"560","B83620",9.028
"561","B83622",53.43
"562","B83624",8.712
"563","B83626",50.58
"564","B83627",41.488
"565","B83628",54.655
"566","B83629",46.965
"567","B83641",53.509
"568","B83642",50.794
