"","gp_code","year","life_expectancy"
"1","A81001",2013,77.884973275
"2","A81001",2014,77.884973275
"3","A81001",2015,77.884973275
"4","A81001",2016,77.884973275
"5","A81001",2017,77.837105635
"6","A81001",2018,77.8858
"7","A81001",2019,77.8858
"8","A81001",2020,77.963
"9","A81001",2021,77.963
"10","A81001",2022,77.963
"11","A81001",2023,77.963
"12","A81001",2024,77.963
"13","A81001",2025,77.963
"14","A81002",2013,78.924868415
"15","A81002",2014,78.924868415
"16","A81002",2015,78.924868415
"17","A81002",2016,78.924868415
"18","A81002",2017,78.80663343
"19","A81002",2018,78.72895
"20","A81002",2019,78.72895
"21","A81002",2020,78.2265
"22","A81002",2021,78.2265
"23","A81002",2022,78.2265
"24","A81002",2023,78.2265
"25","A81002",2024,78.2265
"26","A81002",2025,78.2265
"27","A81004",2013,79.75635704
"28","A81004",2014,79.75635704
"29","A81004",2015,79.75635704
"30","A81004",2016,79.75635704
"31","A81004",2017,80.280141785
"32","A81004",2018,79.8673
"33","A81004",2019,79.8673
"34","A81004",2020,80.7315
"35","A81004",2021,80.7315
"36","A81004",2022,80.7315
"37","A81004",2023,80.7315
"38","A81004",2024,80.7315
"39","A81004",2025,80.7315
"40","A81005",2013,82.438076015
"41","A81005",2014,82.438076015
"42","A81005",2015,82.438076015
"43","A81005",2016,82.438076015
"44","A81005",2017,82.232918545
"45","A81005",2018,82.11015
"46","A81005",2019,82.11015
"47","A81005",2020,81.5895
"48","A81005",2021,81.5895
"49","A81005",2022,81.5895
"50","A81005",2023,81.5895
"51","A81005",2024,81.5895
"52","A81005",2025,81.5895
"53","A81006",2013,78.360236705
"54","A81006",2014,78.360236705
"55","A81006",2015,78.360236705
"56","A81006",2016,78.360236705
"57","A81006",2017,78.28931962
"58","A81006",2018,78.1783
"59","A81006",2019,78.1783
"60","A81006",2020,77.7605
"61","A81006",2021,77.7605
"62","A81006",2022,77.7605
"63","A81006",2023,77.7605
"64","A81006",2024,77.7605
"65","A81006",2025,77.7605
"66","A81007",2013,79.12835754
"67","A81007",2014,79.12835754
"68","A81007",2015,79.12835754
"69","A81007",2016,79.12835754
"70","A81007",2017,78.92838911
"71","A81007",2018,78.96375
"72","A81007",2019,78.96375
"73","A81007",2020,78.417
"74","A81007",2021,78.417
"75","A81007",2022,78.417
"76","A81007",2023,78.417
"77","A81007",2024,78.417
"78","A81007",2025,78.417
"79","A81009",2013,78.008820425
"80","A81009",2014,78.008820425
"81","A81009",2015,78.008820425
"82","A81009",2016,78.008820425
"83","A81009",2017,78.1938425
"84","A81009",2018,77.85935
"85","A81009",2019,77.85935
"86","A81009",2020,78.1265
"87","A81009",2021,78.1265
"88","A81009",2022,78.1265
"89","A81009",2023,78.1265
"90","A81009",2024,78.1265
"91","A81009",2025,78.1265
"92","A81011",2013,78.998723655
"93","A81011",2014,78.998723655
"94","A81011",2015,78.998723655
"95","A81011",2016,78.998723655
"96","A81011",2017,78.83766026
"97","A81011",2018,78.87965
"98","A81011",2019,78.87965
"99","A81011",2020,78.369
"100","A81011",2021,78.369
"101","A81011",2022,78.369
"102","A81011",2023,78.369
"103","A81011",2024,78.369
"104","A81011",2025,78.369
"105","A81012",2013,76.28146832
"106","A81012",2014,76.28146832
"107","A81012",2015,76.28146832
"108","A81012",2016,76.28146832
"109","A81012",2017,76.22390052
"110","A81012",2018,75.96345
"111","A81012",2019,75.96345
"112","A81012",2020,75.502
"113","A81012",2021,75.502
"114","A81012",2022,75.502
"115","A81012",2023,75.502
"116","A81012",2024,75.502
"117","A81012",2025,75.502
"118","A81013",2013,80.700739665
"119","A81013",2014,80.700739665
"120","A81013",2015,80.700739665
"121","A81013",2016,80.700739665
"122","A81013",2017,80.47066659
"123","A81013",2018,80.27395
"124","A81013",2019,80.27395
"125","A81013",2020,80.581
"126","A81013",2021,80.581
"127","A81013",2022,80.581
"128","A81013",2023,80.581
"129","A81013",2024,80.581
"130","A81013",2025,80.581
"131","A81014",2013,81.32205075
"132","A81014",2014,81.32205075
"133","A81014",2015,81.32205075
"134","A81014",2016,81.32205075
"135","A81014",2017,80.89059468
"136","A81014",2018,80.5985
"137","A81014",2019,80.5985
"138","A81014",2020,80.3715
"139","A81014",2021,80.3715
"140","A81014",2022,80.3715
"141","A81014",2023,80.3715
"142","A81014",2024,80.3715
"143","A81014",2025,80.3715
"144","A81016",2013,76.656537515
"145","A81016",2014,76.656537515
"146","A81016",2015,76.656537515
"147","A81016",2016,76.656537515
"148","A81016",2017,76.69061223
"149","A81016",2018,76.1953
"150","A81016",2019,76.1953
"151","A81016",2020,76.033
"152","A81016",2021,76.033
"153","A81016",2022,76.033
"154","A81016",2023,76.033
"155","A81016",2024,76.033
"156","A81016",2025,76.033
"157","A81017",2013,79.89344541
"158","A81017",2014,79.89344541
"159","A81017",2015,79.89344541
"160","A81017",2016,79.89344541
"161","A81017",2017,81.20689979
"162","A81017",2018,NA
"163","A81017",2019,NA
"164","A81017",2020,80.306
"165","A81017",2021,80.306
"166","A81017",2022,80.306
"167","A81017",2023,80.306
"168","A81017",2024,80.306
"169","A81017",2025,80.306
"170","A81018",2013,79.78408007
"171","A81018",2014,79.78408007
"172","A81018",2015,79.78408007
"173","A81018",2016,79.78408007
"174","A81018",2017,79.78543089
"175","A81018",2018,79.4523
"176","A81018",2019,79.4523
"177","A81018",2020,78.619
"178","A81018",2021,78.619
"179","A81018",2022,78.619
"180","A81018",2023,78.619
"181","A81018",2024,78.619
"182","A81018",2025,78.619
"183","A81019",2013,76.666032405
"184","A81019",2014,76.666032405
"185","A81019",2015,76.666032405
"186","A81019",2016,76.666032405
"187","A81019",2017,76.47047739
"188","A81019",2018,76.2503
"189","A81019",2019,76.2503
"190","A81019",2020,75.672
"191","A81019",2021,75.672
"192","A81019",2022,75.672
"193","A81019",2023,75.672
"194","A81019",2024,75.672
"195","A81019",2025,75.672
"196","A81020",2013,78.559092045
"197","A81020",2014,78.559092045
"198","A81020",2015,78.559092045
"199","A81020",2016,78.559092045
"200","A81020",2017,78.60979461
"201","A81020",2018,78.08615
"202","A81020",2019,78.08615
"203","A81020",2020,78.2535
"204","A81020",2021,78.2535
"205","A81020",2022,78.2535
"206","A81020",2023,78.2535
"207","A81020",2024,78.2535
"208","A81020",2025,78.2535
"209","A81021",2013,78.81635914
"210","A81021",2014,78.81635914
"211","A81021",2015,78.81635914
"212","A81021",2016,78.81635914
"213","A81021",2017,78.469847885
"214","A81021",2018,78.1441
"215","A81021",2019,78.1441
"216","A81021",2020,77.7435
"217","A81021",2021,77.7435
"218","A81021",2022,77.7435
"219","A81021",2023,77.7435
"220","A81021",2024,77.7435
"221","A81021",2025,77.7435
"222","A81022",2013,80.45579224
"223","A81022",2014,80.45579224
"224","A81022",2015,80.45579224
"225","A81022",2016,80.45579224
"226","A81022",2017,81.78111568
"227","A81022",2018,82.2089
"228","A81022",2019,82.2089
"229","A81022",2020,81.05
"230","A81022",2021,81.05
"231","A81022",2022,81.05
"232","A81022",2023,81.05
"233","A81022",2024,81.05
"234","A81022",2025,81.05
"235","A81023",2013,76.598865105
"236","A81023",2014,76.598865105
"237","A81023",2015,76.598865105
"238","A81023",2016,76.598865105
"239","A81023",2017,76.50919726
"240","A81023",2018,75.87235
"241","A81023",2019,75.87235
"242","A81023",2020,75.5625
"243","A81023",2021,75.5625
"244","A81023",2022,75.5625
"245","A81023",2023,75.5625
"246","A81023",2024,75.5625
"247","A81023",2025,75.5625
"248","A81025",2013,77.747298295
"249","A81025",2014,77.747298295
"250","A81025",2015,77.747298295
"251","A81025",2016,77.747298295
"252","A81025",2017,77.7275984
"253","A81025",2018,77.66655
"254","A81025",2019,77.66655
"255","A81025",2020,77.553
"256","A81025",2021,77.553
"257","A81025",2022,77.553
"258","A81025",2023,77.553
"259","A81025",2024,77.553
"260","A81025",2025,77.553
"261","A81026",2013,77.17381957
"262","A81026",2014,77.17381957
"263","A81026",2015,77.17381957
"264","A81026",2016,77.17381957
"265","A81026",2017,77.25414598
"266","A81026",2018,76.90055
"267","A81026",2019,76.90055
"268","A81026",2020,76.8195
"269","A81026",2021,76.8195
"270","A81026",2022,76.8195
"271","A81026",2023,76.8195
"272","A81026",2024,76.8195
"273","A81026",2025,76.8195
"274","A81027",2013,84.50625585
"275","A81027",2014,84.50625585
"276","A81027",2015,84.50625585
"277","A81027",2016,84.50625585
"278","A81027",2017,83.62816996
"279","A81027",2018,83.31565
"280","A81027",2019,83.31565
"281","A81027",2020,83.1565
"282","A81027",2021,83.1565
"283","A81027",2022,83.1565
"284","A81027",2023,83.1565
"285","A81027",2024,83.1565
"286","A81027",2025,83.1565
"287","A81029",2013,76.00245265
"288","A81029",2014,76.00245265
"289","A81029",2015,76.00245265
"290","A81029",2016,76.00245265
"291","A81029",2017,75.755521155
"292","A81029",2018,75.1438
"293","A81029",2019,75.1438
"294","A81029",2020,75.044
"295","A81029",2021,75.044
"296","A81029",2022,75.044
"297","A81029",2023,75.044
"298","A81029",2024,75.044
"299","A81029",2025,75.044
"300","A81030",2013,79.20280461
"301","A81030",2014,79.20280461
"302","A81030",2015,79.20280461
"303","A81030",2016,79.20280461
"304","A81030",2017,79.35782802
"305","A81030",2018,78.9567
"306","A81030",2019,78.9567
