"","Practice_Code","Practice_Name","appointment_good","overall_good","year"
"1","A84002","THE ROTHBURY PRACTICE",86.2577893,"89.1297828",2025
"2","A84005","BEDLINGTONSHIRE MED.GROUP",64.8504789,"85.6449137",2025
"3","A84006","ALNWICK MEDICAL GROUP",73.3207378,"84.8628382",2025
"4","A84007","PONTELAND MEDICAL GROUP",74.146254,"70.4648662",2025
"5","A84008","BELFORD MEDICAL PRACTICE",91.9771024,"91.1266486",2025
"6","A84009","RAILWAY MEDICAL GROUP",67.8952484,"78.2748976",2025
"7","A84011","WHITE MEDICAL GROUP",80.3141453,"86.9567465",2025
"8","A84013","THE GABLES MEDICAL GROUP",82.677462,"89.0359781",2025
"9","A84014","MARINE MEDICAL GROUP",83.7605283,"82.5253716",2025
"10","A84016","PRUDHOE MEDICAL GROUP",82.4435494,"85.9540187",2025
"11","A84018","CORBRIDGE HEALTH CENTRE",92.7718953,"94.5180454",2025
"12","A84020","GUIDEPOST MEDICAL GROUP",71.3860877,"70.9455244",2025
"13","A84022","COQUET MEDICAL GROUP",56.7031827,"78.8902965",2025
"14","A84024","BURN BRAE MEDICAL GROUP",84.8459757,"92.1736284",2025
"15","A84025","CRAMLINGTON MEDICAL GROUP",85.4807002,"92.2567272",2025
"16","A84026","WELL CLOSE MEDICAL GROUP",67.0719929,"71.8058565",2025
"17","A84027","BELLINGHAM PRACTICE",94.3296779,"93.4864308",2025
"18","A84028","SEATON PARK MEDICAL GROUP",71.1204528,"71.6365947",2025
"19","A84029","NORTHUMBERLAND HEALTH",72.3891575,"80.4227622",2025
"20","A84030","VILLAGE MEDICAL GROUP",72.5274712,"77.6190175",2025
"21","A84031","GREYSTOKE SURGERY",82.5018958,"85.0559392",2025
"22","A84033","THE SELE MEDICAL PRACTICE",88.7471917,"88.6646972",2025
"23","A84034","HALTWHISTLE MEDICAL GROUP",79.5530598,"88.329884",2025
"24","A84035","RIVERSDALE SURGERY",91.332726,"91.6161599",2025
"25","A84036","VALENS MEDICAL PARTNERSHIP",47.3733032,"56.8626406",2025
"26","A84037","NETHERFIELD HOUSE",91.0480691,"95.9864693",2025
"27","A84038","FORUM FAMILY PRACTICE",87.49302,"90.5892822",2025
"28","A84039","GAS HOUSE LANE SURGERY",90.3515609,"86.3393537",2025
"29","A84040","HUMSHAUGH & WARK MED GRP",85.7697891,"88.6371556",2025
"30","A84042","SCOTS GAP MEDICAL GROUP",96.7173913,"96.3036492",2025
"31","A84044","UNION BRAE & NORHAM PRAC",60.0836616,"62.1207114",2025
"32","A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT",82.3972256,"85.7905979",2025
"33","A84047","BRANCH END SURGERY",91.3047636,"83.8508243",2025
"34","A84604","WOOLER HEALTH",87.2546914,"89.7138369",2025
"35","A84614","THE ADDERLANE SURGERY",99.6967313,"99.324529",2025
"36","A84619","ELSDON AVENUE SURGERY",84.0611664,"89.2977162",2025
"37","A88001","VICTORIA MEDICAL CENTRE",66.6876864,"68.13876",2025
"38","A88002","FARNHAM MEDICAL CTR.",66.4880785,"71.9857038",2025
"39","A88003","MARSDEN MEDICAL GROUP",81.073985,"93.2886096",2025
"40","A88004","MAYFIELD MEDICAL GROUP",53.1537131,"59.6817522",2025
"41","A88005","WENLOCK ROAD SURGERY",62.4212387,"70.6212825",2025
"42","A88006","TALBOT MEDICAL CENTRE",81.0178221,"87.1287258",2025
"43","A88008","TRINITY MEDICAL CENTRE",65.5410962,"74.5992515",2025
"44","A88009","DR THORNILEY-WALKER & PARTNERS",75.4655824,"85.6232066",2025
"45","A88010","ALBERT ROAD SURGERY",85.8266504,"94.5785756",2025
"46","A88012","ELLISON VIEW SURGERY",73.498584,"76.8143802",2025
"47","A88013","CENTRAL SURGERY",71.9948649,"82.0960189",2025
"48","A88014","WEST VIEW SURGERY",75.2377318,"79.1392078",2025
"49","A88015","ST GEORGE & RIVERSIDE MEDICAL PRACTICE",81.4324791,"82.7125433",2025
"50","A88016","COLLIERY COURT MEDICAL GROUP",81.984461,"88.6826546",2025
"51","A88022","THE GLEN MEDICAL GROUP",58.8689064,"71.6631258",2025
"52","A88023","WHITBURN SURGERY",78.8071651,"76.4782095",2025
"53","A88025","THE G.P.SUITE",81.8491869,"86.2660025",2025
"54","A88601","IMEARY MEDICAL GROUP",86.0575685,"92.4335652",2025
"55","A88608","RAVENSWORTH SURGERY",77.3747119,"78.3099282",2025
"56","A88613","EAST WING PRACTICE",71.3329089,"80.6138732",2025
"57","A89001","DEERNESS PARK MEDICAL GROUP",65.803034,"73.2535139",2025
"58","A89002","RIVERVIEW SURGERY",76.3965875,"76.4095484",2025
"59","A89004","HETTON GROUP PRACTICE",71.8660942,"80.0729684",2025
"60","A89005","VILLETTE SURGERY",88.5986258,"92.1088179",2025
"61","A89006","WEARSIDE MEDICAL PRACTICE - PALLION",80.5051146,"78.4710221",2025
"62","A89007","PALLION FAMILY PRACTICE",76.6206704,"80.8291956",2025
"63","A89008","RED HOUSE MEDICAL CENTRE",62.085509,"70.6121715",2025
"64","A89009","HERRINGTON MEDICAL CENTRE",69.708315,"83.9895007",2025
"65","A89010","THE STEPHENSON MEDICAL PRACTICE",72.1499268,"79.4886819",2025
"66","A89011","VILLAGE SURGERY PARTNERSHIP",82.2792963,"85.8417033",2025
"67","A89012","GALLERIES MEDICAL PRACTICE",82.0280863,"77.4729743",2025
"68","A89013","THE NEW CITY MEDICAL GROUP",80.1634425,"91.0078555",2025
"69","A89015","FULWELL MEDICAL CENTRE,",91.7526968,"94.3237724",2025
"70","A89016","ST BEDE MEDICAL CENTRE",87.6726887,"91.1193025",2025
"71","A89017","MILLFIELD MEDICAL GROUP",68.7594905,"83.5142502",2025
"72","A89018","ASHBURN MEDICAL CENTRE",78.8106507,"86.6882528",2025
"73","A89019","BRIDGE VIEW MEDICAL GROUP",52.4314253,"70.1884425",2025
"74","A89020","FORGE MEDICAL PRACTICE",75.9132353,"82.8385372",2025
"75","A89021","KEPIER MEDICAL PRACTICE",86.2306206,"90.9819588",2025
