"","PRAC_CODE","PRACTICE_NAME","INDICATOR_ID","INDICATOR_NAME","VALUE","year"
"1","A81001","The Densham Surgery",295,"% QOF points achieved",95.0922273874283,2011
"2","A81002","Queens Park Medical Centre",295,"% QOF points achieved",98.4152641296387,2011
"3","A81004","Acklam Medical Centre",295,"% QOF points achieved",93.6948694586754,2011
"4","A81005","Springwood Surgery",295,"% QOF points achieved",97.7552000045776,2011
"5","A81006","Tennant Street Medical Practice",295,"% QOF points achieved",95.1521505355835,2011
"6","A81007","Bankhouse Surgery",295,"% QOF points achieved",100,2011
"7","A81009","Village Medical Centre",295,"% QOF points achieved",94.4470613956451,2011
"8","A81011","Chadwick Practice",295,"% QOF points achieved",98.3507187366486,2011
"9","A81012","Westbourne Medical Centre",295,"% QOF points achieved",92.1076820671558,2011
"10","A81013","Brotton Surgery",295,"% QOF points achieved",99.4964284896851,2011
"11","A81014","Queenstree Practice",295,"% QOF points achieved",84.6117778897285,2011
"12","A81016","Park Surgery",295,"% QOF points achieved",93.7810163378715,2011
"13","A81017","Woodbridge Practice",295,"% QOF points achieved",90.387607896328,2011
"14","A81018","Bentley Medical Practice",295,"% QOF points achieved",98.7583434462547,2011
"15","A81019","Crossfell Health Centre",295,"% QOF points achieved",94.3693526268005,2011
"16","A81020","Martonside Medical Centre",295,"% QOF points achieved",98.0810921669006,2011
"17","A81021","Normanby Medical Centre",295,"% QOF points achieved",97.5057583332062,2011
"18","A81022","Hillside Practice",295,"% QOF points achieved",95.048977124691,2011
"19","A81023","The Endeavour Practice",295,"% QOF points achieved",96.7856771826744,2011
"20","A81025","The Dovecot Surgery",295,"% QOF points achieved",98.7075680732727,2011
"21","A81026","Linthorpe Surgery",295,"% QOF points achieved",95.1782178759575,2011
"22","A81027","Yarm Medical Practice",295,"% QOF points achieved",94.089048242569,2011
"23","A81029","Prospect Surgery",295,"% QOF points achieved",92.1598590612411,2011
"24","A81030","Borough Road & Nunthorpe Medical Group",295,"% QOF points achieved",95.7767511606216,2011
"25","A81031","Havelock Grange Practice",295,"% QOF points achieved",93.1112561106682,2011
"26","A81032","The Garth",295,"% QOF points achieved",98.9359933853149,2011
"27","A81034","Thornaby & Barwick Medical Group",295,"% QOF points achieved",94.4726950407028,2011
"28","A81035","Newlands Medical Centre",295,"% QOF points achieved",96.1104678630829,2011
"29","A81036","Norton Medical Centre",295,"% QOF points achieved",95.6982309699059,2011
"30","A81037","The Erimus Practice",295,"% QOF points achieved",90.1898900747299,2011
"31","A81038","Hirsel Medical Centre",295,"% QOF points achieved",94.6490027785301,2011
