next_group_id,pre_location,post_location,post_provider,takeover_date,n_sites,takeover_year,pre_practice_code
16,1-571154154,1-10011093419,1-9622150528,2021-02-01,2,2021,B85042
19,1-556501327,1-10012064243,1-2243873064,2020-12-10,2,2020,P82613
132,1-565519846,1-10097436842,1-6475914402,2020-12-30,2,2020,G81667
138,1-547708212,1-10127416740,1-9716000802,2021-01-01,2,2021,E85041
238,1-543008692,1-10210803891,1-9718215933,2021-02-01,2,2021,B85020
353,1-10319655333,1-12826486550,1-11379457076,2022-03-24,4,2022,E85099
505,1-5548254448,1-10438797030,1-6092785461,2021-03-12,3,2021,D81042
550,1-540234371,1-10472984618,1-129963048,2021-03-09,2,2021,J82069
619,1-508621013,1-1051403692,1-325698686,2014-03-06,2,2014,Y03445
652,1-540184771,1-10529993173,1-6092785461,2021-03-12,3,2021,E82132
804,1-553822687,1-10645640917,1-199810662,2021-04-01,2,2021,L85048
881,1-10723774318,1-13421073245,1-129963048,2022-09-26,2,2022,Y07014
984,1-2843691327,1-10818847806,1-10193874871,2021-05-06,3,2021,B85033
1039,1-583481326,1-10864405075,1-10604284425,2021-05-18,2,2021,D82106
1085,1-551515639,1-10895808545,1-6475914402,2021-05-14,2,2021,G81075
1097,1-4084964064,1-10920010263,1-10490402395,2021-08-02,3,2021,P92648
1205,1-568488725,1-1100197140,1-1051728530,2013-12-03,3,2013,C84624
1291,1-542791668,1-11063513851,1-6475914402,2021-06-15,2,2021,G81043
1419,1-7279550994,1-11163971585,1-10610710908,2021-08-05,3,2021,B85051
1448,1-753354611,1-11188571553,1-199810662,2021-07-01,3,2021,L83068
1496,1-9654347612,1-11223932705,1-2244021771,2021-12-01,3,2021,P83620
1542,1-11265113860,1-13465672415,1-5687593120,2022-07-13,4,2022,G82741
1972,1-571164828,1-11595190515,1-199807916,2021-10-06,2,2021,F81218
2152,1-569579047,1-11730003889,1-10599731671,2021-09-29,2,2021,P81025
2234,1-9017401847,1-11779710447,1-10167785208,2021-10-07,3,2021,B85614
2299,1-11824375429,1-18392542902,1-199800254,2024-03-06,4,2024,C81039
2380,1-19567761642,1-11871894400,1-329926742,2021-11-01,3,2021,F86026
2406,1-510876439,1-11890458981,1-11461944854,2021-12-03,2,2021,P87613
2525,1-567700690,1-11947015605,1-11822820351,2022-02-24,2,2022,P87015
3002,1-543668905,1-12192533075,1-11899100030,2022-08-02,2,2022,F85678
3009,1-641213793,1-12194105515,1-11147386751,2022-03-04,2,2022,B86104
3054,1-537750432,1-12214241318,1-183173152,2021-12-17,2,2021,B87042
3318,1-570776431,1-12382873174,1-6475914402,2022-01-13,2,2022,G81030
3506,1-1249244528,1-9043729973,1-199743528,2020-07-09,2,2020,F83048
3615,1-493360482,1-12553127226,1-11860473164,2022-02-09,2,2022,A88010
3891,1-546916558,1-12706625480,1-12453147776,2022-04-22,2,2022,E81029
3938,1-547975937,1-7112966959,1-6847593770,2019-09-04,3,2019,C82678
3966,1-565555940,1-4349994072,1-1868755349,2017-10-02,4,2017,L83074
4064,1-540990868,1-12837006811,1-199791946,2022-05-04,2,2022,A82004
4123,1-544328423,1-12881790837,1-1846193632,2022-08-04,2,2022,A87600
4124,1-548310347,1-12886424125,1-6475914402,2022-05-05,2,2022,G81663
4175,1-565856422,1-12910985679,1-1309497424,2022-06-30,2,2022,G82002
4234,1-7382111116,1-12948619368,1-199810594,2022-04-13,2,2022,D81629
4352,1-7785371200,1-13031155008,1-12555836675,2022-05-23,3,2022,Y00050
4428,1-547683230,1-13084100625,1-2243873064,2022-07-13,2,2022,P92630
4522,1-16863416092,1-19418942001,1-18224715065,2024-06-19,5,2024,B82106
4578,1-570610077,1-13189845599,1-12789204861,2022-08-02,2,2022,B83008
4672,1-505484814,1-13265729238,1-2524622288,2022-06-08,2,2022,B81095
4694,1-13273264908,1-18694117337,1-2243873064,2024-02-13,3,2024,N83620
4912,1-1413672756,1-13416169217,1-199791135,2022-08-17,3,2022,A82033
4926,1-541903467,1-13422980581,1-13167560025,2023-05-31,2,2023,B85005
4945,1-572335241,1-13440529241,1-13400632425,2022-10-31,2,2022,P92626
4976,1-594053855,1-13453333625,1-824503054,2022-09-30,2,2022,L84034
5000,1-2796286094,1-13462686405,1-5687593120,2022-07-13,3,2022,G82653
5127,1-581549066,1-13578790553,1-13329277444,2022-07-18,2,2022,B85062
5232,1-2567054006,1-13674379350,1-12333357053,2022-08-11,2,2022,P81622
5432,1-541992302,1-13867124286,1-824503054,2022-09-30,2,2022,L84615
5481,1-558113804,1-13904923798,1-13124034527,2022-09-05,2,2022,B84001
5529,1-13937340013,1-15251981735,1-15110643486,2023-06-01,3,2023,B85037
5570,1-549363386,1-13949898991,1-199791946,2023-01-05,2,2023,A82005
5995,1-3171744455,1-14484100650,1-13814384615,2023-01-31,3,2023,B85652
6096,1-581874322,1-14588838362,1-199810662,2023-04-04,2,2023,L85016
6142,1-1568346317,1-2850857915,1-199810662,2016-08-15,3,2016,L85005
6190,1-522559638,1-14757838344,1-199793731,2023-01-27,2,2023,G81694
6203,1-2655787942,1-4306232713,1-4098603105,2017-10-01,3,2017,C82614
