"","PRAC_CODE","PRAC_NAME","TOTAL_PATIENTS","TOTAL_GP_FTE","TOTAL_GP_EXL_FTE","TOTAL_NURSES_FTE","TOTAL_DPC_FTE","TOTAL_ADMIN_FTE","year"
"1","A81001","THE DENSHAM SURGERY",4222,"2.133333333","2.133333333","1","0.32","6.16",2015
"2","A81002","QUEENS PARK MEDICAL CENTRE",19667,"12.16","11.2","5.76","5.186666667","27.88",2015
"3","A81003","VICTORIA MEDICAL PRACTICE",3379,"2.066666667","2.066666667","0.32","0.04","4.08",2015
"4","A81004","BLUEBELL MEDICAL CENTRE",9090,"3.093333333","2.96","3.626666667","0.853333333","9.166666667",2015
"5","A81005","SPRINGWOOD SURGERY",7896,"6.346666667","6.346666667","1.706666667","0.746666667","10.77333333",2015
"6","A81006","TENNANT STREET MEDICAL PRACTICE",12283,"8.786877398","8.786877398","3.830345915","1.6","0",2015
"7","A81007","BANKHOUSE SURGERY",9720,"7.033333333","7.033333333","2.173333333","1","11.88",2015
"8","A81008","ALBERT HOUSE CLINIC",4045,"1.386666667","1.386666667","0.773333333","0.746666667","6.826666667",2015
"9","A81009","VILLAGE MEDICAL CENTRE",9207,"3.306666667","3.306666667","4.346666667","1.426666667","13.44",2015
"10","A81011","CHADWICK PRACTICE",11371,"5.8","5.8","3.253333333","0.933333333","10.58666667",2015
"11","A81012","WESTBOURNE MEDICAL CENTRE",4731,"2.133333333","2.133333333","2.146666667","1.053333333","7.013333334",2015
"12","A81013","BROTTON SURGERY",6153,"3.2","3.2","1.653333333","0","8",2015
"13","A81014","QUEENSTREE PRACTICE",3817,"2","2","1.066666667","0.8","6.726666667",2015
"14","A81015","LAGAN SURGERY",3056,"2.666666667","2.666666667","1.066666667","0.533333333","3.4",2015
"15","A81016","PARK SURGERY",9546,"5.04","5.04","4.093333333","2.56","13.45333333",2015
"16","A81017","WOODBRIDGE PRACTICE",20876,"8.906666667","6.906666667","6.573333333","1.6","24.02666667",2015
"17","A81018","BENTLEY MEDICAL PRACTICE",5466,"1.746666667","1.746666667","2.706666667","2.673052278","9.133333333",2015
"18","A81019","CROSSFELL HEALTH CENTRE",10439,"3.5","3.5","3.093333333","1.653333333","12.73733333",2015
"19","A81020","MARTONSIDE MEDICAL CENTRE",7936,"3.553333333","3.553333333","2.306666667","1.746666667","0",2015
"20","A81021","NORMANBY MEDICAL CENTRE",13181,"7.04","7.04","5.806666667","2.56","20.38",2015
"21","A81022","HILLSIDE PRACTICE",10772,"5.88","5.88","4.226666667","2.106666667","15.10666667",2015
"22","A81023","THE ENDEAVOUR PRACTICE",7674,"4.226666667","4.226666667","1.92","1.64","12.33333333",2015
"23","A81025","THE DOVECOT SURGERY",4161,"2.133333333","2.133333333","0.48","1.053333333","5.48",2015
"24","A81026","LINTHORPE SURGERY",13684,"12.69333333","12.69333333","3.56","3.493333333","18.48",2015
"25","A81027","YARM MEDICAL PRACTICE",13227,"5.786666667","5.786666667","2.693333333","1.6","4.986666667",2015
"26","A81029","PROSPECT SURGERY",5795,"3.386666667","3.386666667","1.333333333","0.613333333","6.573333333",2015
"27","A81030","BOROUGH ROAD & NUNTHORPE MEDICAL GROUP",12050,"6.12","6.12","3","1.893333333","18.18666667",2015
"28","A81031","HAVELOCK GRANGE PRACTICE",12757,"9.746666667","9.746666667","4.386666667","1.8","14.51333333",2015
"29","A81032","THE GARTH",10531,"5.973333333","5.373333333","4.226666667","2.4","11.64",2015
"30","A81033","OAKFIELD MEDICAL PRACTICE",3392,"1.213333333","1.213333333","1.773333333","0.533333333","6.466666667",2015
"31","A81034","THORNABY & BARWICK MEDICAL GROUP",21811,"9.053333334","9.053333334","3.533333333","1.973333333","20.80838321",2015
"32","A81035","NEWLANDS MEDICAL CENTRE",10789,"6.453333333","6.453333333","3.733333333","0.986666667","11.84",2015
"33","A81036","NORTON MEDICAL CENTRE",17318,"11.12","11.12","3.946666667","2.166666667","26.116",2015
"34","A81037","THE ERIMUS PRACTICE",7078,"2.786666667","1.986666667","2.6","1","9.053333333",2015
"35","A81038","HIRSEL MEDICAL CENTRE",3319,"1.973333333","1.973333333","1.04","0","5.386666667",2015
"36","A81039","EAGLESCLIFFE MEDICAL PRACTICE",9234,"4.374666667","4.374666667","1.96","0.746666667","10.74666667",2015
"37","A81040","MARSH HOUSE MEDICAL PRACTICE",8555,"6.333333333","6.333333333","1.52","0.8","12.34666667",2015
"38","A81041","HART MEDICAL PRACTICE",9112,"4.333333333","4.333333333","2.88","2.306666667","12.36",2015
"39","A81042","SOUTH GRANGE MEDICAL GROUP PRACTICE",6319,"2.133333333","2.133333333","2.16","0.96","5.546666667",2015
"40","A81043","THE MANOR HOUSE SURGERY",8006,"4.906666667","4.906666667","0.826666667","2.733333333","14.58666667",2015
"41","A81044","MCKENZIE HOUSE SURGERY",13917,"5.333333334","5.333333334","7.32","3","19.25333333",2015
"42","A81045","THE COATHAM ROAD SURGERY",7807,"2.666666667","2.666666667","4.96","0.906666667","10.66666667",2015
"43","A81046","WOODLANDS FAMILY MEDICAL CENTRE",12817,"5.346666667","5.346666667","4.48","1.306666667","18.46666667",2015
"44","A81047","MARSKE MEDICAL CENTRE",5630,"3.949866667","2.949866667","3.946666667","1.013333333","8.813333333",2015
"45","A81048","ZETLAND MEDICAL PRACTICE",5062,"3.777333333","3.777333333","1.891037745","0","9.27363766",2015
"46","A81049","KINGS MEDICAL CENTRE",5499,"2.373333333","2.373333333","1.333333333","0","0",2015
"47","A81051","CAMBRIDGE MEDICAL GROUP",7547,"4.426666667","4.426666667","2.96","0.893333333","10.46666667",2015
"48","A81052","THE GREEN HOUSE SURGERY",7438,"2.8","2.8","3.36","1.253333333","11.74",2015
"49","A81053","WOODSIDE SURGERY",6529,"2.186877398","2.186877398","2.293333333","0","0",2015
"50","A81054","THE SALTSCAR SURGERY",7972,"3.786666667","3.786666667","3.253333333","1.2","11.49333333",2015
